text,polarity
Giá 53k size vừa. đồ uống giá tiền,1
Giá 53k size vừa. đồ uống loại,1
Nhưng nói chung cũng hơi đắt. nhà hàng giá tiền,0
Mình ăn rất hôi mùi dầu. thức ăn chất lượng,0
Mình ăn chưa baoh thấy mùi hôi hải sản. thức ăn chất lượng,2
3 dĩa vs 2 lon Revive mà có 190k thui(. nhà hàng giá tiền,2
Ở đây ngay khu vắng nên khách cũng không đông mấy. nhà hàng tổng quát,1
"Quán đông lắm, gọi món phải đợi hơi lâu, ko biết phải tại mình đi trễ ko, nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết. nhà hàng tổng quát",2
"Quán đông lắm, gọi món phải đợi hơi lâu, ko biết phải tại mình đi trễ ko, nhưng mà nghe nói ở đây giờ nào cũng đông cũng phải ngồi đợi một lúc hết. phục vụ tổng quát",0
"Mình uống trà sữa lài hạnh nhân khá thơm nha, vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm, đậm vị trà hơi đắng nhẹ, độ ngọt vừa phải. đồ uống chất lượng",2
"Mình uống trà sữa lài hạnh nhân khá thơm nha, vị hạnh nhân không đậm mấy nhưng mùi lài khá thơm, đậm vị trà hơi đắng nhẹ, độ ngọt vừa phải. đồ uống loại",1
"Không gian trang trí đơn giàn mà ấm cúng, nên mình cực thích. không gian tổng quát",2
Chè lạnh thì hình như lúc nào cũng là sương sa sương sáo hột lựu. thức ăn loại,1
Bánh bé xíu xiu deco siêu đẹp ko nỡ ăn luôn 😤. thức ăn loại,2
"Nhân viên phục vụ chu đáo, nhẹ nhàng. phục vụ tổng quát",2
Đồ ăn rất tươi và nêm nếm rất rất rất vừa khẩu vị của mình. thức ăn chất lượng,2
Mình đã ăn được 3-4 lần rồi và sẽ còn ghé lại ăn tiếp :)). nhà hàng tổng quát,2
"Mới đi chi nhánh Hàm Nghi thôi thì thấy ở đây setup các thứ theo phong cách cổ xưa, bàn ghế, nền nhà cũng như các item đều mang hơi hướng hoài niệm :)). không gian tổng quát",2
Chỗ để xe hơi chật nhưng trên phố nên cũng không thể rộng hơn được 😅. nhà hàng điều khoản khác,1
Tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng. nhà hàng giá tiền,0
Tuy giá hơi cao xíu nhưng chất lượng thì xứng đáng vô cùng. nhà hàng tổng quát,2
Nhìn chung hôm đó mình cũng hài lòng rồi. nhà hàng tổng quát,2
Nhưng với giá 10k thì không thể đòi hỏi được gì rồi 😓. nhà hàng giá tiền,1
Nồi lầu riêu cua chỉ có 1 đĩa rau và chưa có đồ nhúng đã là 169k rồi. thức ăn giá tiền,0
Giá từ 30-35-40k. nhà hàng giá tiền,1
Hình như hôm ấy mình gọi cơm được tặng thêm khoai. nhà hàng điều khoản khác,2
"Nghe giới thiêu quán có thêm các loại topping nên gọi 1 trà đen trân châu trắng, trà có vị hoa hồng hơi nồng, nên sẽ có một số ng ko hợp vị này lắm. đồ uống chất lượng",0
"Nghe giới thiêu quán có thêm các loại topping nên gọi 1 trà đen trân châu trắng, trà có vị hoa hồng hơi nồng, nên sẽ có một số ng ko hợp vị này lắm. đồ uống loại",2
