Model,ACC_TRAIN,ACC_DEV,ACC_TEST,PRECISION-MACRO,RECALL-MACRO,F1-MACRO,PRECISION-MICRO,RECALL-MICRO,F1-MICRO
Native Bayes,0.6014513375071144,0.20492866407263294,0.19917440660474717,0.7686096658155481,0.15798649572585136,0.2418553508463007,0.9032738095238095,0.23088626854317232,0.3677673432293245
Logistic Regression,0.39314171883893,0.3631647211413748,0.37100103199174406,0.7420852703968697,0.34165368460731665,0.44595625330793975,0.8644428672817601,0.46329402814758464,0.6032689450222882
SVM,0.9160500853727945,0.40077821011673154,0.40299277605779155,0.7368795673553308,0.38873035140538775,0.4867361791597548,0.859073359073359,0.5077976416888551,0.6382978723404256
Text-CNN-fastText,0.8837507114399544,0.5979247730220493,0.5877192982456141,0.8287123411349486,0.6996175595924811,0.7558124559236318,0.8309075342465754,0.7383035374667174,0.7818731117824774
Text-CNN-Wikipedia Word2vec,0.9678429140580534,0.4708171206225681,0.5036119711042312,0.7563461869852515,0.578360175611769,0.649569328174602,0.8073136427566807,0.6550019018638266,0.7232255354892902
Text-CNN-BPEmb,0.9176152532726238,0.5278858625162127,0.544891640866873,0.8090902188738868,0.629393658765414,0.698524517013103,0.8194070080862533,0.693799923925447,0.7513903192584964
Text-CNN-MULTI_WC_F_E_B,0.8599886169607285,0.5732814526588845,0.5902992776057792,0.8362929509903788,0.6679946346088578,0.73776706334288,0.8529014844804319,0.7211867630277672,0.7815333882934873
Bi-GRU-fastText,0.7951052931132613,0.5875486381322957,0.6222910216718266,0.8260508704307439,0.7008004785383727,0.7550632977782361,0.8359743040685225,0.7424876378851274,0.7864625302175665
Bi-GRU-Wikipedia Word2vec,0.6950768355150825,0.5356679636835279,0.5603715170278638,0.8030696129440895,0.5959477960172767,0.66105313028404,0.8239022181982798,0.6922784328642069,0.7523770152955767
Bi-GRU-BPEmb,0.776038702333523,0.5538261997405967,0.5923632610939112,0.8186950543435284,0.6714184266468979,0.7309901059525501,0.8221561969439728,0.7367820464054774,0.7771313941825476
Bi-GRU-MULTI_WC_F_E_B,0.8074843483210017,0.5888456549935149,0.6052631578947368,0.8139601541422801,0.697663088447995,0.7470834003421759,0.820191906549854,0.7478128565994675,0.7823318742538797
BERT XLM-R,0.9620091064314172,0.7250324254215305,0.7683178534571723,0.8706323822838407,0.8565906673042948,0.8634347351268521,0.8757692307692307,0.8661087866108786,0.8709122203098107
FPTAI (cased),0.9830677290836654,0.6809338521400778,0.7074303405572755,0.8491700860796292,0.7895521858588829,0.8174296523600089,0.8533653846153846,0.8101939901103081,0.8312195121951219
PhoBERT,0.9839214570290268,0.767833981841764,0.782249742002064,0.8794879299586028,0.8595349199643175,0.869136809028082,0.8820809248554913,0.8706732597945988,0.8763399693721287
