Model,ACC_TRAIN,ACC_DEV,ACC_TEST,PRECISION-MACRO,RECALL-MACRO,F1-MACRO,PRECISION-MICRO,RECALL-MICRO,F1-MICRO
Text-CNN-BPEmb,0.8945645987478656,0.5201037613488976,0.5165118679050568,0.7950559355273973,0.6634977952480942,0.7194828773335206,0.8014215904042647,0.6861924686192469,0.7393442622950819
Text-CNN-MULTI_WC_F_E_B,0.8446215139442231,0.5395590142671854,0.5500515995872033,0.8228771061077259,0.674006760553494,0.737891249309725,0.8252904378909741,0.702548497527577,0.7589891103349086
Bi-GRU-fastText,0.7474388161639157,0.5577172503242542,0.5789473684210527,0.8002776994130087,0.7167794643177632,0.749154476471316,0.8011599005799502,0.7356409281095474,0.7670037675986516
Bi-GRU-Wikipedia Word2vec,0.749003984063745,0.5512321660181583,0.5701754385964912,0.8017704479955808,0.696362466849158,0.7409694251276097,0.8046610169491526,0.7223278813236972,0.7612748045700543
Bi-GRU-BPEmb,0.7524188958451906,0.5525291828793775,0.5815273477812177,0.813332857530352,0.7200633616456956,0.7601800206119603,0.8150800336983993,0.7360213008748574,0.7735358784729163
Bi-GRU-MULTI_WC_F_E_B,0.7383323847467274,0.5343709468223087,0.5531475748194015,0.7929520003741964,0.687589673771536,0.729298182698826,0.7947103274559194,0.7200456447318372,0.7555378168030333
BERT XLM-R,0.8373648264086511,0.5979247730220493,0.6444788441692466,0.822271014330635,0.7493981651529175,0.7819406583694389,0.8365546218487395,0.7573221757322176,0.7949690556997405
FPTAI (cased),0.9435116676152533,0.6018158236057068,0.6248710010319918,0.814073635640693,0.7262557124589287,0.7657405542812664,0.8210084033613445,0.7432483834157474,0.7801956478338989
PhoBERT,0.9395276038702334,0.6731517509727627,0.6769865841073271,0.8371954518734382,0.795678763273961,0.8150518739884016,0.8410174880763116,0.804868771395968,0.8225461613216715
Native Bayes,0.8261240751280592,0.35149156939040205,0.3606811145510836,0.8622121704069586,0.3388594200198905,0.4514536954872778,0.8262108262108262,0.44123240775960443,0.5752541532358045
Logistic Regression,0.3948491747296528,0.3942931258106355,0.3926728586171311,0.7855860265373713,0.41896215460850517,0.5241229187943804,0.8049499116087213,0.5195891974134652,0.6315302820157189
SVM,0.9147694934547524,0.4409857328145266,0.4324045407636739,0.849304599637254,0.4497144303015926,0.5545071679810701,0.8208191126279863,0.5488779003423355,0.6578527467517666
Text-CNN-fastText,0.8682413204325555,0.5590142671854734,0.5732714138286894,0.8145288315712814,0.7067903819189897,0.7532279698389761,0.8114237715245695,0.7348801825789274,0.7712574850299402
Text-CNN-Wikipedia Word2vec,0.9472111553784861,0.490272373540856,0.5098039215686274,0.785368940606768,0.6466805865227209,0.7075818918330931,0.7892808062299588,0.6553822746291366,0.7161263507896926
BERT MULTILINGUALFPTAI (cased),0.9231644849174729,0.6381322957198443,0.6377708978328174,0.8034979986881198,0.7525022080803826,0.776327285143917,0.8181448331977217,0.7649296310384176,0.7906428150186751
