Model,ACC_TRAIN,ACC_DEV,ACC_TEST,PRECISION-MACRO,RECALL-MACRO,F1-MACRO,PRECISION-MICRO,RECALL-MICRO,F1-MICRO
Native Bayes,0.8566293085218862,0.6191832858499525,0.6390262457208064,0.7491796161002501,0.4282573089815733,0.4098770060756543,0.6390262457208064,0.6390262457208064,0.6390262457208064
Logistic Regression,0.8703742863184606,0.7094017094017094,0.7238493723849372,0.6971359860452244,0.6158917965367844,0.6407756584539576,0.7238493723849372,0.7238493723849372,0.7238493723849372
SVM,0.9181645168111652,0.6989553656220323,0.7234689996196272,0.7416055781851264,0.5925589080003242,0.6261129138027234,0.7234689996196272,0.7234689996196272,0.7234689996196272
Text-CNN-fastText,0.9719813914146754,0.7454890788224121,0.7645492582731076,0.7245882932103237,0.696660031457177,0.7085274144547568,0.7645492582731076,0.7645492582731076,0.7645492582731076
Text-CNN-Wikipedia Word2vec,0.9856206386128146,0.7217473884140551,0.7508558387219475,0.710517363570894,0.6812017298138224,0.6934137585801129,0.7508558387219475,0.7508558387219475,0.7508558387219474
Text-CNN-BPEmb,0.9843518714315923,0.7473884140550807,0.7592240395587676,0.7199427872420658,0.6991535456846064,0.7072848938115409,0.7592240395587676,0.7592240395587676,0.7592240395587676
Text-CNN-MULTI_WC_F_E_B,0.9773736519348699,0.7711301044634378,0.7721567135793077,0.7303881057804155,0.7128140976725459,0.7199389478111659,0.7721567135793077,0.7721567135793077,0.7721567135793078
Bi-GRU-fastText,0.9291604990484246,0.7445394112060779,0.7451502472422975,0.6968836215241928,0.6896542361158217,0.6917914462988798,0.7451502472422975,0.7451502472422975,0.7451502472422975
Bi-GRU-Wikipedia Word2vec,0.9164728272362022,0.7388414055080722,0.7683529859262077,0.7287439909336725,0.7092466873008588,0.7164520616110992,0.7683529859262077,0.7683529859262077,0.7683529859262076
Bi-GRU-BPEmb,0.9318037640093043,0.7369420702754036,0.7531380753138075,0.7113183938156743,0.7082729285566686,0.7078564403058883,0.7531380753138075,0.7531380753138075,0.7531380753138075
Bi-GRU-MULTI_WC_F_E_B,0.9400507506872489,0.7350427350427351,0.7546595663750475,0.7153038707638742,0.6919919330957328,0.7013910818049042,0.7546595663750475,0.7546595663750475,0.7546595663750475
BERT XLM-R,0.9796997251004441,0.8243114909781576,0.8421453023963484,0.8189727462696506,0.8147729890784827,0.8163214160272722,0.8421453023963484,0.8421453023963484,0.8421453023963484
FPTAI (cased),0.9931275111017128,0.792022792022792,0.798022061620388,0.7626410671778158,0.7585265463328987,0.759814229333235,0.798022061620388,0.798022061620388,0.7980220616203879
PhoBERT,0.9934447028970184,0.8452041785375118,0.8524153670597185,0.8320284597079649,0.8270111804934469,0.8292102241246976,0.8524153670597185,0.8524153670597185,0.8524153670597185
PhoBERT,0.9934447028970184,0.8452041785375118,0.8524153670597185,0.8320284597079649,0.8270111804934469,0.8292102241246976,0.8524153670597185,0.8524153670597185,0.8524153670597185
BERT MULTILINGUALFPTAI (cased),0.9851977162190738,0.798670465337132,0.802966907569418,0.7646633988042421,0.7713736944384487,0.7677325127623554,0.802966907569418,0.802966907569418,0.8029669075694181
