Model,ACC_TRAIN,ACC_DEV,ACC_TEST,PRECISION-MACRO,RECALL-MACRO,F1-MACRO,PRECISION-MICRO,RECALL-MICRO,F1-MICRO
Native Bayes,0.8618101078452104,0.6172839506172839,0.6382655001901864,0.7920727093140886,0.4288050853508092,0.4141162814636221,0.6382655001901864,0.6382655001901864,0.6382655001901864
Logistic Regression,0.8679424825544513,0.7027540360873694,0.7257512362114873,0.6984534500989147,0.6194393233040326,0.6441525953772693,0.7257512362114873,0.7257512362114873,0.7257512362114874
SVM,0.9103404525269613,0.6942070275403609,0.7177634081399772,0.727772119786113,0.5865329805814126,0.618169790757083,0.7177634081399772,0.7177634081399772,0.7177634081399772
Text-CNN-fastText,0.9674349756819624,0.7625830959164293,0.7573221757322176,0.7057694563284859,0.7201694309757539,0.7099374713697736,0.7573221757322176,0.7573221757322176,0.7573221757322176
Text-CNN-Wikipedia Word2vec,0.9808627616832312,0.7331433998100665,0.7474324838341575,0.712042546683722,0.672862446948787,0.6875857500532482,0.7474324838341575,0.7474324838341575,0.7474324838341576
Text-CNN-BPEmb,0.9759991541552125,0.7597340930674265,0.7656903765690377,0.7228270749142691,0.7122501961715795,0.716973837556167,0.7656903765690377,0.7656903765690377,0.7656903765690377
Text-CNN-MULTI_WC_F_E_B,0.9641573271304715,0.7473884140550807,0.7607455306200076,0.7127984480275226,0.7209924590273628,0.7165524045273929,0.7607455306200076,0.7607455306200076,0.7607455306200077
Bi-GRU-fastText,0.9437513216324804,0.717948717948718,0.7428680106504374,0.6937878590569722,0.70376962085167,0.6984676138870957,0.7428680106504374,0.7428680106504374,0.7428680106504374
Bi-GRU-Wikipedia Word2vec,0.9191160921970818,0.7464387464387464,0.7569418029669076,0.7111606309988101,0.7165409620235884,0.7130382947254641,0.7569418029669076,0.7569418029669076,0.7569418029669077
Bi-GRU-BPEmb,0.9371960245294988,0.7635327635327636,0.7675922403955877,0.721715026000684,0.7135128902720423,0.7145219578892418,0.7675922403955877,0.7675922403955877,0.7675922403955877
Bi-GRU-MULTI_WC_F_E_B,0.9480862761683231,0.741690408357075,0.7447698744769874,0.694207522863859,0.7064609064442324,0.6996026970463284,0.7447698744769874,0.7447698744769874,0.7447698744769874
BERT XLM-R,0.9761048847536477,0.8347578347578347,0.8352985926207683,0.8057793177379672,0.8079142190802896,0.8066286620149116,0.8352985926207683,0.8352985926207683,0.8352985926207683
FPTAI (cased),0.9927045887079721,0.7872744539411206,0.7831875237732978,0.7508363922354077,0.7397178008981399,0.7435035932941462,0.7831875237732978,0.7831875237732978,0.7831875237732978
PhoBERT,0.9941848170860647,0.8442545109211775,0.8535564853556485,0.8260675832969592,0.8256148813207459,0.8258345868970625,0.8535564853556485,0.8535564853556485,0.8535564853556485
BERT MULTILINGUALFPTAI (cased),0.9793825333051385,0.7901234567901234,0.7828071510079878,0.7446721234525221,0.7729016021331038,0.756044214983739,0.7828071510079878,0.7828071510079878,0.7828071510079878
