Model,ACC_TRAIN,ACC_DEV,ACC_TEST,PRECISION-MACRO,RECALL-MACRO,F1-MACRO,PRECISION-MICRO,RECALL-MICRO,F1-MICRO
Native Bayes,0.8817931909494607,0.6524216524216524,0.6785850133130468,0.6961615671037721,0.5288743149572018,0.5551945087827144,0.6785850133130468,0.6785850133130468,0.6785850133130468
Logistic Regression,0.8463734404736731,0.691358024691358,0.702548497527577,0.6795938658984871,0.5954862646360334,0.6211071756443354,0.702548497527577,0.702548497527577,0.702548497527577
SVM,0.9031507718333686,0.6723646723646723,0.694180296690757,0.7030509650338864,0.5603663386447436,0.591488889080734,0.694180296690757,0.694180296690757,0.694180296690757
Text-CNN-fastText,0.967223514485092,0.6885090218423552,0.7120578166603271,0.660651714674153,0.6570586070845595,0.658809917451205,0.7120578166603271,0.7120578166603271,0.7120578166603271
Text-CNN-Wikipedia Word2vec,0.9750475787692958,0.6657169990503324,0.7071129707112971,0.6638445525860162,0.6167397416244799,0.6339230475070378,0.7071129707112971,0.7071129707112971,0.707112970711297
Text-CNN-BPEmb,0.975681962359907,0.704653371320038,0.7101559528337771,0.6677969100446542,0.6342393499232275,0.647170003135047,0.7101559528337771,0.7101559528337771,0.7101559528337771
Text-CNN-MULTI_WC_F_E_B,0.9652146331148235,0.7065527065527065,0.7128185621909471,0.668657653412478,0.6391240916982786,0.6512563356171541,0.7128185621909471,0.7128185621909471,0.7128185621909471
Bi-GRU-fastText,0.9146754070628039,0.6875593542260209,0.698364397109167,0.6427721859928875,0.6434852968182437,0.6431201487470126,0.698364397109167,0.698364397109167,0.698364397109167
Bi-GRU-Wikipedia Word2vec,0.8995559314865722,0.6951566951566952,0.7208063902624572,0.6736958437587863,0.6545971416947863,0.6613206877198446,0.7208063902624572,0.7208063902624572,0.7208063902624572
Bi-GRU-BPEmb,0.9084373017551279,0.6837606837606838,0.7120578166603271,0.6640125461856518,0.6610422162921137,0.6617966438318758,0.7120578166603271,0.7120578166603271,0.7120578166603271
Bi-GRU-MULTI_WC_F_E_B,0.918693169803341,0.6894586894586895,0.698364397109167,0.6467650708070826,0.6338982696317031,0.6397081680157036,0.698364397109167,0.698364397109167,0.698364397109167
BERT XLM-R,0.8869739902727849,0.7226970560303894,0.7356409281095474,0.6857517551232144,0.675122938081785,0.680012272839186,0.7356409281095474,0.7356409281095474,0.7356409281095473
FPTAI (cased),0.9794882639035737,0.6904083570750238,0.702928870292887,0.6539185348402349,0.6574228734783318,0.6554562857112319,0.702928870292887,0.702928870292887,0.702928870292887
PhoBERT,0.9662719390991753,0.7435897435897436,0.7596044123240776,0.7219987187492066,0.7194521736063334,0.7203580356938474,0.7596044123240776,0.7596044123240776,0.7596044123240776
BERT MULTILINGUALFPTAI (cased),0.9504123493338972,0.7056030389363722,0.7082540890072271,0.6580206793870039,0.6770769808808508,0.6661551966427003,0.7082540890072271,0.7082540890072271,0.7082540890072271
