text,true_label,pred_label
"nhà hàng điều khoản khác ❤ Bánh đc bao gói bao bì khá lạ, là túi nilong đc băng dập kín để hút khí, chứ kfai túi giấy như các shop khác 💪🏻.",2,2
đồ uống chất lượng * soda and lemon thì cũng tạm được.,1,1
"phục vụ tổng quát Mình sẽ ko baoh order ship thế này nữa, làm ăn cẩu thả, thua xa koi, mình cũng order koi nhiều nhưng cbh thấy tình trạng thế này.",0,0
nhà hàng tổng quát Cơ sở Kichi Kichi này đã hạn chế về không gian thì chớ lại còn rất đông khách.,2,2
không gian tổng quát Cơ sở Kichi Kichi này đã hạn chế về không gian thì chớ lại còn rất đông khách.,0,0
phục vụ tổng quát Nhắc 2 3 lần mới thấy đem tới.,0,0
thức ăn loại Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường !,2,2
thức ăn chất lượng Mình ăn cả bánh ngọt to bánh cx mềm và phía trên là nhân lá dứa vs đường !,2,2
"thức ăn chất lượng Mứt dâu, cam ngon còn mứt thơm k hợp với mình.",2,2
"nhà hàng điều khoản khác Vửi xe 10k gần đó, nếu mua mang về thì có thể để xe ngay ngoài, mua nhanh rồi đi.",0,2
"đồ uống loại - Green tea ice, blended( 55 k):mình chọn ly L nên to lắm nha, uống no lắm.",2,1
"đồ uống giá tiền - Green tea ice, blended( 55 k):mình chọn ly L nên to lắm nha, uống no lắm.",1,1
"phục vụ tổng quát 🧀 Phục vụ:chị nhân viên nhanh nhẹn, thân thiện.",2,2
nhà hàng tổng quát Sẽ còn quay lại vì mình là fan của HL.,2,2
"thức ăn chất lượng Nguyên liệu tươi ngon lắm, như món mực nướng lên còn rất ngọt thịt và dai, thơm ngon chấm kèm tương đỏ rất hợp khẩu vị.",2,2
"thức ăn loại Nguyên liệu tươi ngon lắm, như món mực nướng lên còn rất ngọt thịt và dai, thơm ngon chấm kèm tương đỏ rất hợp khẩu vị.",2,2
"không gian tổng quát Lầm đầu tới quán thấy không gian thoáng, hiện đại, phục vụ nhiệt tình có điều mình không thích phục vụ đứng gần như vậy, hơi không thoải mái lắm.",2,2
"phục vụ tổng quát Lầm đầu tới quán thấy không gian thoáng, hiện đại, phục vụ nhiệt tình có điều mình không thích phục vụ đứng gần như vậy, hơi không thoải mái lắm.",1,1
"phục vụ tổng quát - Về nhân viên: Các anh chị nhân viên ở đây dễ thương và nhiệt tình, thay vỉ thường xuyên, tư vấn và lên món cho bọn mình khá nhanh.",2,2
"thức ăn loại Sườn mềm tươi, róc thịt phết, phủ thêm lớp phô mai nữa thơm thơm.",2,2
"thức ăn chất lượng Sườn mềm tươi, róc thịt phết, phủ thêm lớp phô mai nữa thơm thơm.",2,2
"thức ăn loại Bạn mình gọi cơm chiên cá mặn, nhìn thấy phần mình ít quá nên share thêm cơm, cơm ăn lúc đầu thứ 1 muỗng thì ngon.",0,1
"thức ăn chất lượng Bạn mình gọi cơm chiên cá mặn, nhìn thấy phần mình ít quá nên share thêm cơm, cơm ăn lúc đầu thứ 1 muỗng thì ngon.",2,2
"thức ăn chất lượng Mình gọi 2 mín bò khác nhau, bò bít tết của mình có sốt BBQ ăn ngon lắm, mình rất ưng, thịt bò vừa chín tới, mếm và tươi.",2,2
"thức ăn giá tiền Bún bò ngon, vừa ăn 39k tô thường.",1,1
"thức ăn chất lượng Bún bò ngon, vừa ăn 39k tô thường.",2,2
thức ăn chất lượng Ăn thử các loại sốt thấy hai loại này là ngon nhất :) Gọi thêm 1 đĩa Salad Greek Shrimp và desert Lava chôclate.,2,2
thức ăn loại Ăn thử các loại sốt thấy hai loại này là ngon nhất :) Gọi thêm 1 đĩa Salad Greek Shrimp và desert Lava chôclate.,1,1
"nhà hàng tổng quát Ở đây làm không đậm đà lắm, nhưng vừa miệng, không quá ngọt.",1,1
"phục vụ tổng quát - Đồ ship khá đúng giờ nhưng ship đến hộp giấy đựng gà hấp hơi, cảm giác không chắc chắn.",2,2
"nhà hàng điều khoản khác - Đồ ship khá đúng giờ nhưng ship đến hộp giấy đựng gà hấp hơi, cảm giác không chắc chắn.",0,1
"đồ uống loại Trà sữa nói chung cũng được, có điều chưa đủ ngọt mặc dù mình uống là 100 % đường, 30 % đá rồi.",1,1
"đồ uống chất lượng Trà sữa nói chung cũng được, có điều chưa đủ ngọt mặc dù mình uống là 100 % đường, 30 % đá rồi.",1,1
"nhà hàng điều khoản khác Nhà hàng cũng để business card của quản lý để khách tiện liên lạc, khá là chu đáo.",2,2
"đồ uống chất lượng Ăn ko béo ngậy đâu, chua chua mặn mặn đã lắm + trân châu tím nữa nhai sực sực đã lắm hihi.",2,2
"thức ăn loại Nếu bạn muốn thưởng thức các món ăn Ý cơ bản và đúng vị thì có thể tới đây và thử spaghetti bolognese( mỳ ý bò băm), risotto và panna cotta.",1,1
"thức ăn chất lượng Nếu bạn muốn thưởng thức các món ăn Ý cơ bản và đúng vị thì có thể tới đây và thử spaghetti bolognese( mỳ ý bò băm), risotto và panna cotta.",2,2
"nhà hàng tổng quát Nếu bạn muốn thưởng thức các món ăn Ý cơ bản và đúng vị thì có thể tới đây và thử spaghetti bolognese( mỳ ý bò băm), risotto và panna cotta.",2,1
"thức ăn chất lượng Nó hơi nhạt 1 chút nhưng nhờ như vậy mà có thể cảm nhận được sự dẻo của hạt cơm, rau, sốt.",2,2
"thức ăn loại Nó hơi nhạt 1 chút nhưng nhờ như vậy mà có thể cảm nhận được sự dẻo của hạt cơm, rau, sốt.",1,1
"thức ăn loại Thêm 1 món nữa là món trứng Benedict, được nấu rất khéo nên khi nhấn vào sẽ chảy sốt lòng đỏ ra, ăn kèm với bacon rán, nói chung ăn thích.",2,2
"thức ăn chất lượng Thêm 1 món nữa là món trứng Benedict, được nấu rất khéo nên khi nhấn vào sẽ chảy sốt lòng đỏ ra, ăn kèm với bacon rán, nói chung ăn thích.",2,2
không gian tổng quát Không gian:k gian qán nhỏ nhắn đc trang trí nhìu màu sắc vs tone là xi măng vs gạch đỏ xây nhà í.,1,2
thức ăn loại Mình rất thích Lotter ở đây vì mình không thích nấu ăn lắm mà đồ ăn ở đây khá là phong phú và nhiều loại.,2,2
nhà hàng tổng quát Mình rất thích Lotter ở đây vì mình không thích nấu ăn lắm mà đồ ăn ở đây khá là phong phú và nhiều loại.,2,2
"thức ăn chất lượng Mới hôm kia mình đặt 1 cơm chiên mã lại, vì là cơm chiên nên m thường sẽ dễ ăn nhưng quán lại làm m cảm thấy cơm ăn ngán vô cùng, lại còn hăng mùi xả vì bỏ quá nhiều, m ăn dc 1 nữa thì bỏ, cảm thấy tiếc tiền vô cùng.",0,0
"thức ăn chất lượng Kem đặc, có vị mặn mặn, béo lắm í.",2,2
nhà hàng tổng quát Nhưng luôn rất là đông.,2,2
thức ăn giá tiền Các món ăn ngoài bò thì giá khá mềm.,2,2
đồ uống loại Mình gọi 1 Matcha ice blended và 1 trà sữa woocha vị thảo mộc thêm trân châu trắng.,1,1
"đồ uống chất lượng Milkfoam ở gongcha là nổi tiếng đó giờ, có người khen người chê mà cá nhân mình rất thích milkfosm ở đây béo béo ngọt ngọt nhưng vừa nói chung là toẹt vời.",2,2
"thức ăn chất lượng Nem nướng chấm chung với sốt, ăn vị bình thường lắm.",1,1
"thức ăn loại Nem nướng chấm chung với sốt, ăn vị bình thường lắm.",1,1
đồ uống chất lượng Trân châu hơi cứng.,0,0
"không gian tổng quát - Về không gian:nếu đến sớm thì ngoài vỉa hè chắc chắn toàn người là người ngồi la liệt, có 1 gian trong nhà nhưng cũng không chưa được là bao.",1,1
"thức ăn loại Mình gọi món lưỡi bò chấm mắm gừng có mùi vị đặc trưng ăn khá ngon nhưng hơi mềm và món lẫu đuôi bò, lẫu nhiều, vị lẫu vừa phải đậm đà.",2,1
"thức ăn chất lượng Mình gọi món lưỡi bò chấm mắm gừng có mùi vị đặc trưng ăn khá ngon nhưng hơi mềm và món lẫu đuôi bò, lẫu nhiều, vị lẫu vừa phải đậm đà.",2,2
"thức ăn chất lượng Bánh nóng hổi, bên trên là lớp cheese phủ dày( mà ko bằng hồi đó) và hạnh nhân lát.",2,0
"thức ăn loại Bánh nóng hổi, bên trên là lớp cheese phủ dày( mà ko bằng hồi đó) và hạnh nhân lát.",2,0
"phục vụ tổng quát Nhân viên thân thiện, nhiệt tình, vui vẻ ; lúc về tip bạn nhân viên nữ 50k do làm tốt nhiệm vụ.",2,2
nhà hàng điều khoản khác Menu khác hoàn toàn bên nguyễn chí thanh.,1,0
"thức ăn loại Salad ở đây trộn rất vừa vặn, tôm to ngon luôn:3.",2,2
"thức ăn chất lượng Salad ở đây trộn rất vừa vặn, tôm to ngon luôn:3.",2,2
"không gian tổng quát Không gian quán hơi nhỏ, mình order xong phải đợi thêm xíu nữa mới có chỗ ngồi.",0,0
"thức ăn chất lượng Kem dừa thì khá ngon, thơm, bùi và ngọt.",2,2
không gian tổng quát Quán thiết kế khá hài hoà.,2,2
nhà hàng điều khoản khác Quán có điều hoà mát cũng là 1 điểm cộng.,2,1
thức ăn giá tiền Bạn mình ăn phần số 3 cũng 38k thì double trứng ko có nem vs thịt xông khói nha.,1,1
thức ăn loại Bạn mình ăn phần số 3 cũng 38k thì double trứng ko có nem vs thịt xông khói nha.,1,1
"đồ uống giá tiền Mình kiu trà sữa lài xanh uống ngon nhưng hơi ngọt quá, 31k giá này ỗn.",1,1
"đồ uống chất lượng Mình kiu trà sữa lài xanh uống ngon nhưng hơi ngọt quá, 31k giá này ỗn.",2,2
nhà hàng tổng quát Giữ xe trước quán và order trên lầu chứ tầng trệt chỉ có chỗ ngồi thôi.,1,1
nhà hàng điều khoản khác Giữ xe trước quán và order trên lầu chứ tầng trệt chỉ có chỗ ngồi thôi.,1,1
thức ăn loại Có thể gọi thêm đồ uống và bánh mì đi kèm.,2,1
nhà hàng tổng quát Thu lợi kiểu này rất mất khách và danh tiếng❌👎.,0,2
nhà hàng giá tiền Giá cả ngang ngửa quán Đo Đo tuy nhiên sạch sẽ và ngon hơn.,1,2
nhà hàng tổng quát Giá cả ngang ngửa quán Đo Đo tuy nhiên sạch sẽ và ngon hơn.,2,2
"thức ăn loại Lâu không ăn pizza nên cũng thấy thèm, combo đầy đặn, trông mỗi thứ 1 ít mà cũng no, 3 người gọi combo 345k là đủ no 😊.",2,2
"thức ăn giá tiền Lâu không ăn pizza nên cũng thấy thèm, combo đầy đặn, trông mỗi thứ 1 ít mà cũng no, 3 người gọi combo 345k là đủ no 😊.",1,1
phục vụ tổng quát Nhân viên siêng năng.,2,2
"phục vụ tổng quát Đặc biệt của quán là có anh chủ rất nhiệt tình, giải thích món ăn cho khách, còn giới thiệu nguyên liệu cặn kẽ.",2,2
nhà hàng tổng quát Dù quán thường xuyên đông vào giờ cao điểm và nếu không đặt bàn trước thì đành ngậm ngùi đi nơi khác ăn nhưng vẫn được lòng mình.,2,2
"thức ăn chất lượng Thịt bò mềm, chấm với sốt cực ngon.",2,2
"thức ăn loại Thịt bò mềm, chấm với sốt cực ngon.",2,1
thức ăn giá tiền 20 k / 1 xuat( 6 miếng) tặng kèm trà đào theo mỗi xuất.,1,1
thức ăn loại 20 k / 1 xuat( 6 miếng) tặng kèm trà đào theo mỗi xuất.,1,1
nhà hàng điều khoản khác 20 k / 1 xuat( 6 miếng) tặng kèm trà đào theo mỗi xuất.,2,2
thức ăn chất lượng Khoai tây chiên hơi khét nha 😓.,0,1
không gian tổng quát Quán nhỏ thôi nhưng chất lượng cà ri khỏi chê.,0,1
thức ăn chất lượng Quán nhỏ thôi nhưng chất lượng cà ri khỏi chê.,2,2
nhà hàng tổng quát Có dịp quay lại HN mình nhất định sẽ đến.,2,2
